epoch,optimizer_step,loss,base,tdp,detector_supervised,evidence_distillation,parameter_anchor,state,physical,metadata_mismatch_fraction,metadata_robustness_scale,metadata_dropout_probability,metadata_noise_sigma,metadata_mismatch_probability,route_teacher_probability,route_teacher_fraction,pcgrad_conflict_fraction,pcgrad_mean_domain_cosine,amp_skipped_updates,lr,new_module_lr,seconds,peak_cuda_MiB
1,128,0.1955359540588688,0.055933236983037204,0.3171585375057475,0.7141092595120426,0.0,0.0,0.03633566484131734,0.022530271438881755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.977127451692937e-06,4.988563725846468e-05,123.83888609999849,1028.75341796875
2,256,0.18447416587150656,0.04532725915260016,0.3151738945161924,0.7182901108171791,0.0,0.0,0.03299821965629235,0.01966583080138662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.908730081915346e-06,4.9543650409576725e-05,108.19835149998835,1028.75341796875
3,384,0.17955605838506017,0.04474512403430708,0.3180544200222357,0.6706428502657218,0.0,0.0,0.031894789139187196,0.018925643233160372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.795466594727992e-06,4.897733297363996e-05,106.17480729999079,1028.75341796875
4,512,0.18915527511853725,0.04695411144166428,0.3311696315795416,0.7278695529676042,0.0,0.0,0.02463211242138641,0.014341361440528999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.638427779428613e-06,4.8192138897143064e-05,101.52519260000554,1028.75341796875
5,640,0.19012228248175234,0.049515318858539104,0.32750924877473153,0.7172711402818095,0.0,0.0,0.025856436317553744,0.01584708262817003,0.01171875,0.25,0.025,0.00125,0.0125,0.0,0.0,0.0,0.0,0.0,9.439126005654685e-06,4.719563002827343e-05,105.53839910001261,1028.8212890625
6,768,0.18416604860976804,0.04694013378775708,0.3172229403280653,0.7026648368337192,0.0,0.0,0.026733626622444717,0.01682955113301432,0.029296875,0.5,0.05,0.0025,0.025,0.0,0.0,0.0,0.0,0.0,9.199480658437092e-06,4.5997403292185454e-05,103.90313109999988,1065.2978515625
7,896,0.18733542390691582,0.04884402786683495,0.31618112736032344,0.7178148235616391,0.0,0.0,0.026250206778058782,0.01697330461229285,0.046875,0.75,0.07500000000000001,0.00375,0.037500000000000006,0.0,0.0,0.0,0.0,0.0,8.921799653473e-06,4.4608998267365e-05,105.36232139999629,1066.5869140625
8,1024,0.1819591571984347,0.04737142193425825,0.30727576797653455,0.6989231515181018,0.0,0.0,0.024376725237743813,0.016051833164056006,0.041015625,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,8.608757210636101e-06,4.304378605318051e-05,104.31453909999982,1066.5869140625
9,1152,0.19099927734350786,0.052579293243070424,0.32065314449573634,0.7100943579316663,0.0,0.0,0.024567210237364634,0.016463913155348564,0.048828125,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,8.263368099777317e-06,4.131684049888658e-05,102.2265064999956,1068.091796875
10,1280,0.18274450169701595,0.047705514800327364,0.3075937447065371,0.7025550599501003,0.0,0.0,0.024696339094589348,0.015901893179034232,0.04296875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,7.888958606843111e-06,3.944479303421556e-05,104.71573909999279,1068.091796875
11,1408,0.19008354605466593,0.05193571707150113,0.3202123173614382,0.7103307628858602,0.0,0.0,0.022999868742772378,0.015446004234945576,0.0546875,1.0,0.1,0.005,0.05,0.0,0.0,0.0,0.0,0.0,7.48913449992349e-06,3.7445672499617454e-05,103.81283090000215,1068.9921875
