method,dataset,scenario,images,alignment_policy,psnr,ssim
raw,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),24.366876989268757,0.6660704675568155
raw,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),24.291285315243222,0.6312640698918377
raw,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),10.884452385429029,0.5326905382505382
raw,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),11.36910762584944,0.39702946172062176
raw,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),22.910572383238854,0.6879142766862404
raw,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),23.180034019923184,0.6642914613283525
raw,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),10.39028056491463,0.5430645743223625
raw,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),11.055318970392037,0.4208335148419921
instructir,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),26.31716194606761,0.7707183490316551
instructir,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),26.400107771158645,0.7558760477835873
instructir,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),20.2276556137131,0.8290602629443249
instructir,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),19.40835154592246,0.6079820329884449
instructir,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),24.982190196635802,0.7859781446654027
instructir,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),25.472513605241804,0.7817936905725734
instructir,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),19.03843840019406,0.8296861608666698
instructir,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),18.809031307523117,0.6143822041083509
dfpir,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),27.106533238681603,0.808440648288612
dfpir,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),26.746048128393927,0.7732469306652805
dfpir,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),25.084535549915095,0.8844930174120937
dfpir,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),21.894320026110684,0.6339300490287413
dfpir,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),25.89188699249197,0.8218595371471615
dfpir,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),25.728439743000806,0.7913086700627184
dfpir,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),24.794159110395963,0.8759098369774856
dfpir,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),21.17431455675515,0.6379545734623285
demoe_auto,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),25.48124114725526,0.7779479145285595
demoe_auto,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),24.951009396565322,0.6664549072822893
demoe_auto,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),22.090003875133803,0.8476870923516262
demoe_auto,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),19.288590139766317,0.6452216640653381
demoe_auto,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),25.52350124402059,0.8103657679294977
demoe_auto,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),23.81136425124232,0.6950029727276854
demoe_auto,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),20.48837078845428,0.8103611984356182
demoe_auto,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),17.143286994775767,0.6126090441867122
demoe_oracle,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),26.781682895882284,0.7918734959809177
demoe_oracle,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),26.33775255809878,0.7543788846716823
demoe_oracle,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),24.423863898842146,0.8849878142397087
demoe_oracle,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),22.373814660755198,0.7043015782732561
demoe_oracle,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),25.56461699455504,0.8105880432710872
demoe_oracle,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),25.39920988669411,0.7789552793728085
demoe_oracle,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),23.564759646492906,0.8750006711389137
demoe_oracle,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),21.966853039326217,0.7096905748205861
trace_r,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),26.77876003673478,0.7899760672126908
trace_r,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),26.429555262123905,0.7522340330732874
trace_r,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),24.079032021794145,0.8814184277890676
trace_r,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),22.31281086087156,0.7020765480147787
trace_r,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),25.5438616546408,0.8084811720791765
trace_r,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),25.352729557047425,0.7740383412190309
trace_r,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),21.699489437517897,0.8606588324223916
trace_r,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),21.93045274841665,0.70954339816345
nafnet,ivcnz,motion,166,clean reference resized to restoration canvas (Lanczos),23.182915876104403,0.7806820565363369
nafnet,ivcnz,defocus,166,clean reference resized to restoration canvas (Lanczos),22.453865916071685,0.6952154622020492
nafnet,ivcnz,lowlight,166,clean reference resized to restoration canvas (Lanczos),19.187307516160487,0.776067829993834
nafnet,ivcnz,mixed,166,clean reference resized to restoration canvas (Lanczos),18.8208604293058,0.5877554448972265
nafnet,pcm,motion,254,clean reference resized to restoration canvas (Lanczos),18.328349188401337,0.7558529486102382
nafnet,pcm,defocus,254,clean reference resized to restoration canvas (Lanczos),18.949278834473525,0.684013434282438
nafnet,pcm,lowlight,254,clean reference resized to restoration canvas (Lanczos),16.48695793092165,0.7381757669092164
nafnet,pcm,mixed,254,clean reference resized to restoration canvas (Lanczos),16.81929194722696,0.5717004571608671
