epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0864,1.51815,2.50271,0.00793,0.16205,0.14103,0.09578,0.02391,0.96944,1.64051,0.00836,6.62963e-05,6.62963e-05,0.0669181
2,99.8802,1.43716,2.13136,0.00704,0.15884,0.15883,0.09676,0.02912,0.95528,1.46117,0.00877,0.000132914,0.000132914,0.0336514
3,142.302,1.30712,1.87725,0.00691,0.26352,0.1396,0.13313,0.03754,0.97029,1.45231,0.00888,0.000199337,0.000199337,0.000384523
4,185.862,1.45409,2.0849,0.00689,0.18941,0.15883,0.12507,0.03881,0.96855,1.35094,0.00892,0.000199342,0.000199342,0.000199342
5,229.494,1.42158,1.98557,0.00675,0.56993,0.12108,0.12075,0.03714,0.97707,1.31041,0.00892,0.00019883,0.00019883,0.00019883
6,271.119,1.53452,2.11731,0.00706,0.18561,0.22013,0.1222,0.04288,0.98658,1.33223,0.00897,0.000198175,0.000198175,0.000198175
7,315.804,1.27603,1.73117,0.00634,0.21525,0.22436,0.14497,0.04944,0.97689,1.32781,0.00866,0.000197375,0.000197375,0.000197375
8,358.876,1.2326,1.70926,0.00577,0.22901,0.19658,0.16246,0.05342,0.99212,1.29812,0.00874,0.000196433,0.000196433,0.000196433
9,402.252,1.15722,1.52449,0.00536,0.23204,0.20485,0.15672,0.05383,0.99891,1.20768,0.00855,0.00019535,0.00019535,0.00019535
10,446.218,1.38501,1.73086,0.00626,0.5556,0.1655,0.16468,0.0557,1.0094,1.21032,0.00892,0.000194128,0.000194128,0.000194128
11,490.113,1.24761,1.62185,0.00544,0.52732,0.15028,0.14887,0.0488,0.99988,1.22959,0.00861,0.000192769,0.000192769,0.000192769
12,533.639,1.17597,1.52202,0.00574,0.52603,0.15933,0.13738,0.04887,0.98091,1.15547,0.00872,0.000191274,0.000191274,0.000191274
13,575.312,1.20788,1.45823,0.00545,0.20632,0.21991,0.14691,0.04908,0.99515,1.20058,0.00898,0.000189646,0.000189646,0.000189646
