variant_tag,variant,selected_epoch,val_map50,mAP50,mAP50_95,precision,recall,PSNR,SSIM,checkpoint,data_yaml,active_contour_loss,residual_strength,params_m,gmacs_640,runtime_ms_640
base_only,Base only,8,0.16923726135389372,0.23251031984988355,0.08147103090301774,0.3759261251115144,0.2622289222490912,26.614839383415227,0.7772792681360876,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\base_only\rcadnet_epoch_008.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\base_only\rcadnet_epoch_008\eta_1p00\data.yaml,0.0,1.0,1.075774,40.54675552,193.85628999999653
image_code,+ supervised image code,8,0.15783298086021683,0.24882411551867709,0.08469320626250625,0.37549969581372533,0.27979963246064715,26.637039703319672,0.7798447009940811,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\image_code\rcadnet_epoch_008.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\image_code\rcadnet_epoch_008\eta_1p00\data.yaml,0.0,1.0,1.09499,40.79457064,195.16529500000388
film,+ FiLM conditioning,8,0.1692576700207373,0.2538859687132263,0.08631052869318406,0.39136390796093945,0.2827874889529443,26.632512228324497,0.7800675017746869,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\film\rcadnet_epoch_008.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\film\rcadnet_epoch_008\eta_1p00\data.yaml,0.0,1.0,1.09499,40.79457064,191.49901000000682
metadata_fusion,+ metadata fusion,8,0.16946217448664225,0.25079727704374255,0.08591120306087377,0.36252920723303134,0.27705166654292085,26.657207767130977,0.78074161895853,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\metadata_fusion\rcadnet_epoch_008.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\metadata_fusion\rcadnet_epoch_008\eta_1p00\data.yaml,0.0,1.0,1.097479,40.794574736,225.7367400000021
attention,+ task-evidence attention,5,0.18571133262126385,0.23991666885205434,0.0845263381189208,0.3393994721928489,0.28269857993055825,26.811753827356213,0.7833414795185556,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\attention\rcadnet_epoch_005.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\attention\rcadnet_epoch_005\eta_1p00\data.yaml,0.0,1.0,1.326265,41.417392016,248.03415000000086
detail_skip,+ degradation-aware detail skip,7,0.1915263352128352,0.26383163424077666,0.09486285853981896,0.35799899888839376,0.30601852678564434,26.910500504052564,0.7888214373035937,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\detail_skip\rcadnet_epoch_007.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\detail_skip\rcadnet_epoch_007\eta_1p00\data.yaml,0.0,1.0,1.33685,45.652656196,228.78301000000647
detector_features,+ detector-feature loss,7,0.19308107227066537,0.2591336080864923,0.09094552433793905,0.3657053898353368,0.28709816677615824,26.849527330751318,0.7875618514240972,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\detector_features\rcadnet_epoch_007.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\detector_features\rcadnet_epoch_007\eta_1p00\data.yaml,0.0,1.0,1.33685,45.652656196,262.3651249999966
stability,+ stability terms (full model),6,0.18753587334761104,0.26246819781656533,0.08877156974152409,0.3922264109127072,0.29706998092434683,26.798562268293676,0.7865587670282023,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\stability\rcadnet_epoch_006.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\stability\rcadnet_epoch_006\eta_1p00\data.yaml,0.0,1.0,1.33685,45.652656196,235.7449650000035
output_policy,+ validation output policy,6,0.18753587334761104,0.26246819781656533,0.08877156974152409,0.3922264109127072,0.29706998092434683,26.798562268293676,0.7865587670282023,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\stability\rcadnet_epoch_006.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\output_policy\rcadnet_epoch_006\eta_1p00\data.yaml,0.0,1.0,1.33685,45.652656196,220.57432499998413
matched_image_only,Matched image-only control,6,0.18430147301754496,0.2522595521528016,0.08823453339767932,0.3668783535040445,0.2949752738225256,26.76769186271547,0.7842416231403287,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\runs\major_revision_sequential_ablation_20260715\matched_image_only\rcadnet_epoch_006.pth,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\major_revision_sequential_ablation_20260715\restored\test\matched_image_only\rcadnet_epoch_006\eta_1p00\data.yaml,0.0,1.0,1.33685,45.652656196,220.94716999999946
