system,confidence,precision_iou10,recall_iou10,f1_iou10,pred
Raw native,0.1,0.44642857142857145,0.2336448598130841,0.3067484662576687,56
Raw native,0.125,0.46296296296296297,0.2336448598130841,0.3105590062111801,54
Raw native,0.15000000000000002,0.49019607843137253,0.2336448598130841,0.31645569620253167,51
Raw native,0.17500000000000002,0.46938775510204084,0.21495327102803738,0.2948717948717949,49
Raw native,0.2,0.4888888888888889,0.205607476635514,0.2894736842105263,45
Raw native,0.225,0.4772727272727273,0.19626168224299065,0.2781456953642384,44
Raw native,0.25,0.4772727272727273,0.19626168224299065,0.2781456953642384,44
Raw native,0.275,0.4878048780487805,0.18691588785046728,0.27027027027027023,41
Raw native,0.30000000000000004,0.5263157894736842,0.18691588785046728,0.27586206896551724,38
Raw native,0.325,0.5277777777777778,0.17757009345794392,0.26573426573426573,36
Raw native,0.35,0.5806451612903226,0.16822429906542055,0.2608695652173913,31
Raw native,0.375,0.5925925925925926,0.14953271028037382,0.23880597014925373,27
Raw native,0.4,0.64,0.14953271028037382,0.2424242424242424,25
Raw native,0.42500000000000004,0.625,0.14018691588785046,0.22900763358778625,24
Raw native,0.45000000000000007,0.6363636363636364,0.1308411214953271,0.21705426356589144,22
Raw native,0.475,0.6363636363636364,0.1308411214953271,0.21705426356589144,22
Raw native,0.5,0.6666666666666666,0.1308411214953271,0.21874999999999997,21
Raw native,0.525,0.6666666666666666,0.1308411214953271,0.21874999999999997,21
Raw native,0.55,0.6666666666666666,0.11214953271028037,0.192,18
Raw native,0.5750000000000001,0.6666666666666666,0.11214953271028037,0.192,18
Raw native,0.6,0.7058823529411765,0.11214953271028037,0.1935483870967742,17
Raw native,0.625,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw native,0.65,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw native,0.675,0.7333333333333333,0.102803738317757,0.18032786885245902,15
Raw native,0.7000000000000001,0.7692307692307693,0.09345794392523364,0.16666666666666666,13
Raw native,0.725,0.7692307692307693,0.09345794392523364,0.16666666666666666,13
Raw native,0.75,0.75,0.08411214953271028,0.15126050420168066,12
Raw native,0.775,0.7777777777777778,0.06542056074766354,0.12068965517241378,9
Raw native,0.8,1.0,0.056074766355140186,0.10619469026548672,6
Raw native,0.8250000000000001,1.0,0.028037383177570093,0.05454545454545455,3
