corpus,dataset,split,scenario,method,map50,map50_95,precision,recall,detector,imgsz,output_policy
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,clean,Clean,0.6521152832907862,0.3218915521255975,0.706276309193234,0.5905938274350857,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,motion,Degraded,0.1395142510495141,0.05041716141669912,0.30661596389358403,0.1564327485380117,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,motion,DFPIR,0.37424091880608945,0.15743392519193203,0.5627089044407348,0.3362573099415205,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,motion,DeMoE-auto,0.3711597213762285,0.15729574637696978,0.5487847903191203,0.3391812865497076,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,motion,DeMoE-scenario,0.38216810710306826,0.1614347480268191,0.5887271611971254,0.3348482970140341,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,motion,NAFNet-road,0.18976819308647053,0.06939595754173533,0.3239938510043625,0.2236842105263158,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,defocus,Degraded,0.15395713606253408,0.06161085650624989,0.5512682580864328,0.12572402841541236,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,defocus,DFPIR,0.21094131525521037,0.08593601858604433,0.5503441407022562,0.1950418147182907,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,defocus,DeMoE-auto,0.24801446662849502,0.10040973213560529,0.5524033225696046,0.22076023391812866,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,defocus,DeMoE-scenario,0.2536028869492577,0.10037294082432532,0.5247345651224578,0.2222222222222222,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,defocus,NAFNet-road,0.35660083553092214,0.15371901111089661,0.5768530455339755,0.3201754385964912,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,lowlight,Degraded,0.516848538739037,0.24605334788175176,0.673070066818645,0.43944358989324184,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,lowlight,DFPIR,0.47538769842873635,0.21579419189267707,0.5689623256138704,0.43128654970760233,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,lowlight,DeMoE-auto,0.5103702885466069,0.24115421699904788,0.6029683905685354,0.4766081871345029,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,lowlight,DeMoE-scenario,0.5098767948083455,0.24092709056927183,0.6124811110085967,0.47368421052631576,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,lowlight,NAFNet-road,0.5049071892899067,0.2362139070976367,0.6389062371415757,0.4415204678362573,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,mixed,Degraded,0.27977424953785923,0.12011397039133234,0.4740993835125929,0.26900584795321636,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,mixed,DFPIR,0.30663814622796604,0.1328583458164733,0.5179019147427779,0.2953216374269006,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,mixed,DeMoE-auto,0.343186240774276,0.14817109642540668,0.554563631188404,0.3230994152046784,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,mixed,DeMoE-scenario,0.3507051378144879,0.1537623093569032,0.5501748621234415,0.3361700534814653,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,mixed,NAFNet-road,0.27457979673538807,0.10943431730975735,0.48186972606161477,0.27631578947368424,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,motion,RMR-Net,0.4267142330716218,0.1794306398185168,0.616438999449009,0.36889276099381985,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,defocus,RMR-Net,0.3721291062724673,0.15834134065075112,0.638877734082583,0.32894736842105265,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,lowlight,RMR-Net,0.5232460760567675,0.2424611218133978,0.6178755052476961,0.46345029239766083,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,IVCNZ,test,mixed,RMR-Net,0.4272599954106439,0.1926838816726043,0.5311073685201415,0.41228070175438597,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,clean,Clean,0.540965834335866,0.2316286126094596,0.538121762207569,0.5442935476422975,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,Degraded,0.20343616388558652,0.06859633808953586,0.36363026977176616,0.22341859890282886,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,DFPIR,0.29389952098878275,0.10387308142906411,0.4367390291348439,0.3111884078674773,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,DeMoE-auto,0.31945936145328707,0.11852588395358919,0.371181184761829,0.3766138026509173,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,DeMoE-scenario,0.3197009609103017,0.118563845964057,0.37040566041268286,0.3766138026509173,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,motion,NAFNet-road,0.19396343326557122,0.06474435643671564,0.35843598935921733,0.22805736100892618,YOLO11s frozen clean-data checkpoint,640,direct restored view
fresh_final baselines + validation-selected 30-epoch RMR-Net,PCM,test,defocus,Degraded,0.060212047810459655,0.022415328578304566,0.10311225822089054,0.17507583739109978,YOLO11s frozen clean-data checkpoint,640,direct restored view
