run,label,gt,pred,tp_iou10,precision_iou10,recall_iou10,f1_iou10
raw,Alligator Crack,32,15,10,0.6666666666666666,0.3125,0.425531914893617
raw,Longitudinal Crack,76,23,17,0.7391304347826086,0.2236842105263158,0.3434343434343434
raw,Potholes,27,44,14,0.3181818181818182,0.5185185185185185,0.39436619718309857
raw,Transverse Crack,32,14,4,0.2857142857142857,0.125,0.17391304347826086
rmr_blind,Alligator Crack,32,18,11,0.6111111111111112,0.34375,0.44000000000000006
rmr_blind,Longitudinal Crack,76,23,15,0.6521739130434783,0.19736842105263158,0.303030303030303
rmr_blind,Potholes,27,44,14,0.3181818181818182,0.5185185185185185,0.39436619718309857
rmr_blind,Transverse Crack,32,7,3,0.42857142857142855,0.09375,0.15384615384615383
rmr_metadata,Alligator Crack,32,18,12,0.6666666666666666,0.375,0.4800000000000001
rmr_metadata,Longitudinal Crack,76,22,15,0.6818181818181818,0.19736842105263158,0.30612244897959184
rmr_metadata,Potholes,27,43,13,0.3023255813953488,0.48148148148148145,0.37142857142857144
rmr_metadata,Transverse Crack,32,12,4,0.3333333333333333,0.125,0.18181818181818182
rmr_metadata_gated,Alligator Crack,32,15,10,0.6666666666666666,0.3125,0.425531914893617
rmr_metadata_gated,Longitudinal Crack,76,27,19,0.7037037037037037,0.25,0.36893203883495146
rmr_metadata_gated,Potholes,27,45,14,0.3111111111111111,0.5185185185185185,0.3888888888888889
rmr_metadata_gated,Transverse Crack,32,11,3,0.2727272727272727,0.09375,0.13953488372093023
rmr_detdom2ep_metadata_eta0p05,Alligator Crack,32,15,10,0.6666666666666666,0.3125,0.425531914893617
rmr_detdom2ep_metadata_eta0p05,Longitudinal Crack,76,25,18,0.72,0.23684210526315788,0.3564356435643564
rmr_detdom2ep_metadata_eta0p05,Potholes,27,45,15,0.3333333333333333,0.5555555555555556,0.4166666666666667
rmr_detdom2ep_metadata_eta0p05,Transverse Crack,32,13,4,0.3076923076923077,0.125,0.17777777777777778
rmr_native_gate_gamma085,Alligator Crack,32,14,10,0.7142857142857143,0.3125,0.43478260869565216
rmr_native_gate_gamma085,Longitudinal Crack,76,30,21,0.7,0.27631578947368424,0.39622641509433965
rmr_native_gate_gamma085,Potholes,27,46,14,0.30434782608695654,0.5185185185185185,0.3835616438356165
rmr_native_gate_gamma085,Transverse Crack,32,11,4,0.36363636363636365,0.125,0.18604651162790697
rmr_dual_evidence,Alligator Crack,32,20,14,0.7,0.4375,0.5384615384615384
rmr_dual_evidence,Longitudinal Crack,76,41,26,0.6341463414634146,0.34210526315789475,0.4444444444444444
rmr_dual_evidence,Potholes,27,47,15,0.3191489361702128,0.5555555555555556,0.40540540540540543
rmr_dual_evidence,Transverse Crack,32,29,8,0.27586206896551724,0.25,0.26229508196721313
nafnet,Alligator Crack,32,17,12,0.7058823529411765,0.375,0.48979591836734687
nafnet,Longitudinal Crack,76,19,13,0.6842105263157895,0.17105263157894737,0.2736842105263158
nafnet,Potholes,27,64,12,0.1875,0.4444444444444444,0.26373626373626374
nafnet,Transverse Crack,32,10,2,0.2,0.0625,0.09523809523809523
dfpir,Alligator Crack,32,16,11,0.6875,0.34375,0.4583333333333333
dfpir,Longitudinal Crack,76,17,13,0.7647058823529411,0.17105263157894737,0.27956989247311825
dfpir,Potholes,27,73,12,0.1643835616438356,0.4444444444444444,0.24
dfpir,Transverse Crack,32,6,4,0.6666666666666666,0.125,0.21052631578947367
demoe_auto,Alligator Crack,32,15,10,0.6666666666666666,0.3125,0.425531914893617
demoe_auto,Longitudinal Crack,76,24,16,0.6666666666666666,0.21052631578947367,0.32
demoe_auto,Potholes,27,51,15,0.29411764705882354,0.5555555555555556,0.3846153846153846
demoe_auto,Transverse Crack,32,9,4,0.4444444444444444,0.125,0.1951219512195122
demoe_scenario,Alligator Crack,32,16,11,0.6875,0.34375,0.4583333333333333
demoe_scenario,Longitudinal Crack,76,24,15,0.625,0.19736842105263158,0.3
demoe_scenario,Potholes,27,50,13,0.26,0.48148148148148145,0.33766233766233766
demoe_scenario,Transverse Crack,32,9,3,0.3333333333333333,0.09375,0.14634146341463417
instructir_generic,Alligator Crack,32,19,13,0.6842105263157895,0.40625,0.5098039215686275
instructir_generic,Longitudinal Crack,76,22,15,0.6818181818181818,0.19736842105263158,0.30612244897959184
instructir_generic,Potholes,27,43,13,0.3023255813953488,0.48148148148148145,0.37142857142857144
instructir_generic,Transverse Crack,32,12,3,0.25,0.09375,0.13636363636363635
instructir_metadata,Alligator Crack,32,15,9,0.6,0.28125,0.3829787234042553
instructir_metadata,Longitudinal Crack,76,21,15,0.7142857142857143,0.19736842105263158,0.30927835051546393
instructir_metadata,Potholes,27,61,12,0.19672131147540983,0.4444444444444444,0.27272727272727276
instructir_metadata,Transverse Crack,32,8,4,0.5,0.125,0.2
