run,mode,iou,images,gt,pred,tp,fp,fn,precision,recall,f1
raw,primary,0.1,44,167,96,49,47,118,0.5104166666666666,0.2934131736526946,0.37262357414448666
raw,primary,0.25,44,167,96,46,50,121,0.4791666666666667,0.2754491017964072,0.349809885931559
raw,primary,0.5,44,167,96,36,60,131,0.375,0.2155688622754491,0.27376425855513303
raw,class,0.1,44,167,96,45,51,122,0.46875,0.2694610778443114,0.3422053231939164
raw,class,0.25,44,167,96,43,53,124,0.4479166666666667,0.25748502994011974,0.32699619771863114
raw,class,0.5,44,167,96,34,62,133,0.3541666666666667,0.20359281437125748,0.2585551330798479
raw,primary_success,-1,44,167,96,52,,115,,0.31137724550898205,
rmr_blind,primary,0.1,44,167,92,47,45,120,0.5108695652173914,0.281437125748503,0.36293436293436293
rmr_blind,primary,0.25,44,167,92,43,49,124,0.4673913043478261,0.25748502994011974,0.33204633204633205
rmr_blind,primary,0.5,44,167,92,32,60,135,0.34782608695652173,0.19161676646706588,0.24710424710424717
rmr_blind,class,0.1,44,167,92,43,49,124,0.4673913043478261,0.25748502994011974,0.33204633204633205
rmr_blind,class,0.25,44,167,92,41,51,126,0.44565217391304346,0.24550898203592814,0.3166023166023166
rmr_blind,class,0.5,44,167,92,31,61,136,0.33695652173913043,0.18562874251497005,0.23938223938223938
rmr_blind,primary_success,-1,44,167,92,49,,118,,0.2934131736526946,
rmr_metadata,primary,0.1,44,167,95,48,47,119,0.5052631578947369,0.2874251497005988,0.366412213740458
rmr_metadata,primary,0.25,44,167,95,45,50,122,0.47368421052631576,0.2694610778443114,0.3435114503816794
rmr_metadata,primary,0.5,44,167,95,34,61,133,0.35789473684210527,0.20359281437125748,0.25954198473282436
rmr_metadata,class,0.1,44,167,95,44,51,123,0.4631578947368421,0.2634730538922156,0.3358778625954199
rmr_metadata,class,0.25,44,167,95,43,52,124,0.45263157894736844,0.25748502994011974,0.3282442748091603
rmr_metadata,class,0.5,44,167,95,33,62,134,0.3473684210526316,0.19760479041916168,0.25190839694656486
rmr_metadata,primary_success,-1,44,167,95,50,,117,,0.2994011976047904,
rmr_metadata_gated,primary,0.1,44,167,98,50,48,117,0.5102040816326531,0.2994011976047904,0.37735849056603765
rmr_metadata_gated,primary,0.25,44,167,98,47,51,120,0.47959183673469385,0.281437125748503,0.35471698113207545
rmr_metadata_gated,primary,0.5,44,167,98,35,63,132,0.35714285714285715,0.20958083832335328,0.26415094339622636
rmr_metadata_gated,class,0.1,44,167,98,46,52,121,0.46938775510204084,0.2754491017964072,0.34716981132075475
rmr_metadata_gated,class,0.25,44,167,98,44,54,123,0.4489795918367347,0.2634730538922156,0.33207547169811324
rmr_metadata_gated,class,0.5,44,167,98,33,65,134,0.336734693877551,0.19760479041916168,0.24905660377358493
rmr_metadata_gated,primary_success,-1,44,167,98,53,,114,,0.31736526946107785,
rmr_detdom2ep_metadata_eta0p05,primary,0.1,44,167,98,51,47,116,0.5204081632653061,0.30538922155688625,0.38490566037735846
rmr_detdom2ep_metadata_eta0p05,primary,0.25,44,167,98,48,50,119,0.4897959183673469,0.2874251497005988,0.36226415094339626
rmr_detdom2ep_metadata_eta0p05,primary,0.5,44,167,98,36,62,131,0.3673469387755102,0.2155688622754491,0.27169811320754716
rmr_detdom2ep_metadata_eta0p05,class,0.1,44,167,98,47,51,120,0.47959183673469385,0.281437125748503,0.35471698113207545
rmr_detdom2ep_metadata_eta0p05,class,0.25,44,167,98,45,53,122,0.45918367346938777,0.2694610778443114,0.339622641509434
rmr_detdom2ep_metadata_eta0p05,class,0.5,44,167,98,34,64,133,0.3469387755102041,0.20359281437125748,0.25660377358490566
rmr_detdom2ep_metadata_eta0p05,primary_success,-1,44,167,98,54,,113,,0.32335329341317365,
rmr_native_gate_gamma085,primary,0.1,44,167,101,53,48,114,0.5247524752475248,0.31736526946107785,0.3955223880597016
rmr_native_gate_gamma085,primary,0.25,44,167,101,50,51,117,0.49504950495049505,0.2994011976047904,0.3731343283582089
rmr_native_gate_gamma085,primary,0.5,44,167,101,37,64,130,0.36633663366336633,0.2215568862275449,0.27611940298507465
rmr_native_gate_gamma085,class,0.1,44,167,101,49,52,118,0.48514851485148514,0.2934131736526946,0.3656716417910447
rmr_native_gate_gamma085,class,0.25,44,167,101,47,54,120,0.46534653465346537,0.281437125748503,0.3507462686567164
rmr_native_gate_gamma085,class,0.5,44,167,101,35,66,132,0.3465346534653465,0.20958083832335328,0.26119402985074625
rmr_native_gate_gamma085,primary_success,-1,44,167,101,56,,111,,0.33532934131736525,
rmr_dual_evidence,primary,0.1,44,167,137,70,67,97,0.5109489051094891,0.41916167664670656,0.46052631578947373
rmr_dual_evidence,primary,0.25,44,167,137,63,74,104,0.45985401459854014,0.3772455089820359,0.4144736842105263
rmr_dual_evidence,primary,0.5,44,167,137,43,94,124,0.31386861313868614,0.25748502994011974,0.28289473684210525
